x1,x2,x3,x4,u,Y_p,Y_theta,Y_v,Y_w
0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.783096465327996594e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.731647106956091697e+00,1.702142671435414450e-03,-3.399277129952693599e-03,1.134594469803394817e-01,-2.262512615560108020e-01
1.702142671435414450e-03,3.138193376459840422e+00,1.134594469803394817e-01,-2.262512615560108020e-01,3.136185168887580144e+00,5.530188100145865676e-03,-1.098406725131484407e-02,1.417051558067517480e-01,-2.785760750042494127e-01
7.232330771581280127e-03,3.127209309208525578e+00,2.551646027870912437e-01,-5.048273365602602425e-01,5.426757374077337381e+00,9.057246132117401788e-03,-1.777340985035635867e-02,9.339606506664871466e-02,-1.733006927932323471e-01
1.628957690369868191e-02,3.109435899358169220e+00,3.485606678537399583e-01,-6.781280293534925896e-01,9.109561886404193842e-02,1.288040941741647183e-02,-2.483678176417924988e-02,1.614356319127113748e-01,-2.967618172054282688e-01
2.916998632111515374e-02,3.084599117593989970e+00,5.099962997664513331e-01,-9.748898465589208584e-01,6.497259520347299144e+00,1.531015652236404276e-02,-2.867914792368919663e-02,5.401312887173270738e-04,4.093196360406414769e-02
4.448014284347919650e-02,3.055919969670300773e+00,5.105364310551686602e-01,-9.339578829548567107e-01,-3.663140328797769740e+00,1.819278591552254271e-02,-3.290077343004060850e-02,1.915725981900480157e-01,-3.216322592802225433e-01
6.267292875900173921e-02,3.023019196240260165e+00,7.021090292452166759e-01,-1.255590142235079254e+00,4.898561557766960561e+00,1.935696268561799827e-02,-3.313633005443605839e-02,-1.138807456048902544e-01,3.053946310170408962e-01
8.202989144461973747e-02,2.989882866185824106e+00,5.882282836403264215e-01,-9.501955112180383578e-01,-3.797961766426869445e+00,1.977182220015359648e-02,-3.127905106540129765e-02,1.414721644901513198e-01,-1.812268491697329731e-01
1.018017136447733340e-01,2.958603815120422809e+00,7.297004481304777412e-01,-1.131422360387771331e+00,2.902327049749694687e+00,2.010081393651261261e-02,-2.873193196153644990e-02,-1.194279687973104354e-01,3.500814938907264029e-01
1.219025275812859466e-01,2.929871883158886359e+00,6.102724793331673059e-01,-7.813408664970449280e-01,-3.512705275355223478e+00,1.951158350916173956e-02,-2.386584559086823987e-02,8.010258286575677733e-02,-2.570643766828739629e-02
1.414141110904476861e-01,2.906006037568018119e+00,6.903750621989240832e-01,-8.070473041653323243e-01,1.230901605276134347e+00,1.903463760123202952e-02,-1.883420157517123883e-02,-1.118133933135259106e-01,3.601790502237437464e-01
1.604487486916797156e-01,2.887171835992846880e+00,5.785616688853981726e-01,-4.468682539415885779e-01,-2.661879016494984374e+00,1.779771691919732057e-02,-1.200014718788366963e-02,2.934189026461186955e-02,9.498991889388452847e-02
1.782464656108770362e-01,2.875171688804963210e+00,6.079035591500100422e-01,-3.518783350477040495e-01,-1.390862658872689117e-01,1.693492494031792472e-02,-5.698164951418505098e-03,-8.682365275123360426e-02,3.243961958630621201e-01
1.951813905511949609e-01,2.869473523853544705e+00,5.210799063987764379e-01,-2.748213918464194327e-02,-1.879333273837632490e+00,1.545684044065456786e-02,1.885239018158735291e-03,-1.169761361201893113e-02,1.804587393730674449e-01
2.106382309918495288e-01,2.871358762871703441e+00,5.093822927867575068e-01,1.529766001884255155e-01,-1.006641120060850270e+00,1.432933526161211946e-02,8.763584167374105505e-03,-6.345383826874056998e-02,2.774629580981540777e-01
